nome,quota_m_s,giacitura,tecnologia,longitude,latitude,coord_E,coord_N,coord_NU,coord_EU,data inizi,data fine,conformita,altezzapl,altezzate,presenza e,presenza_1,presenza_2,presenza_3,presenza_4
COLLINA (FORNIAVOLTRI),"1285",versante S,CAE,"12.839077233241525","46.58555366552222","2354457","5161398",,,29/06/2005,,NO,"250","400",RR_suff,ALT,,,
COLLOREDO,"102",pianura,CAE,"13.139536123028448","46.0572344068676","2376096","5102108",,,22/05/2009,,PARZIALE,"250","450",RR_suff,LOC,,,
COLLOREDO M.A.,"190",pianura,CAE,"13.145905030253006","46.16691510479764","2376873","5114283",,,18/06/2002,,PARZIALE,"250",,RR_suff,,,,
COMEGLIANS,"520",fondovalle,CAE,"12.864454281600755","46.50572663939256","2356161","5152475",,,15/09/1999,,NO,"250","400",RR_alt,ALT,,,
CORDENONS,"73",pianura,CAE,"12.700466940938906","46.009250973369426","2341979","5097665",,,11/03/2009,,NO,"200","180",RR_ok,LOC,LOC,RAP,
CORITIS,"641",terrazzo/pianoro,CAE,"13.392165114130691","46.347925993627946","2396292","5133981",,,25/10/2000,,NO,"250","400",RR_suff,ALT,,,RAP
CORITIS,"650",terrazzo/pianoro,MICROS,"13.395161701731004","46.34767111245683","2396522","5133948","5133925","376518",11/10/2001,,PARZIALE,"200","200",RR_ok,LOC,,,
CORMONS,"84",pianura,CAE,"13.453524708395056","45.97670160822887","2400210","5092640",,,02/04/2003,,NO,"250","900",RR_suff,ALT,ALT,RAP,
DOBERDO',"134",terrazzo/pianoro,CAE,"13.547264890765966","45.84300700572953","2407201","5077649",,,09/02/2010,,PARZIALE,"250","900",RR_suff,ALT,RAP,,
ENEMONZO,"438",fondovalle,MICROS,"12.862505946038862","46.41042771478192","2355725","5141890","5141867","335721",26/07/1994,,SI,"200","200",RR_ok,RAP,RAP,RAP,RAP
ERTO E CASSO,"851",versante S,CAE,"12.370622752696335","46.277759281457236","2317431","5128289",,,04/03/2009,,NO,"300","900",RR_alt,ALT,LOC,RAP,RAP
